Fecha,Nivel general,Alimentos y bebidas no alcohólicas,Alimentos,Pan y cereales,Carnes y derivados,"Leche, productos lácteos y huevos","Aceites, grasas y manteca",Frutas,"Verduras, tubérculos y legumbres","Azúcar, dulces, chocolate, golosinas, etc.",Bebidas no alcohólicas,"Café, té, yerba y cacao","Aguas minerales, bebidas gaseosas y jugos",Bebidas alcohólicas y tabaco,Bebidas alcohólicas,Tabaco,Prendas de vestir y calzado,Prendas de vestir y materiales,Calzado,"Vivienda, agua, electricidad, gas y otros combustibles",Alquiler de la vivienda y gastos conexos,Alquiler de la vivienda,"Electricidad, gas y otros combustibles",Equipamiento y mantenimiento del hogar,Bienes y servicios para la conservación del hogar,Salud,"Productos medicinales, artefactos y equipos para la salud",Gastos de prepagas,Transporte,Adquisición de vehículos,Funcionamiento de equipos de transporte personal,Combustibles y lubricantes para vehículos de uso del hogar,Transporte público,Comunicación,Servicios  de telefonía e internet,Recreación y cultura,Servicios recreativos y culturales,"Periódicos, diarios, revistas, libros y artículos de papelería",Educación,Restaurantes y hoteles,Restaurantes y comidas fuera del hogar,Bienes y servicios varios,Cuidado personal
2016-12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2017-01,101.7074,101.4532,101.1509,101.6816,100.1244,102.0523,104.4466,102.9104,100.4237,102.6788,104.0648,103.0007,104.3737,101.3446,103.3679,100.0045,99.8901,99.3201,101.3966,102.9333,103.797,104.0926,100.0424,101.2098,101.2687,103.1395,103.8069,99.8932,102.6271,101.3379,102.5936,102.8179,104.4175,102.7973,102.785,101.494,102.4171,102.17,100,101.8587,100.8187,102.0274,101.8622
2017-02,103.2652,103.2726,102.8614,103.4011,100.1186,104.8258,112.0237,103.5016,105.6971,103.6017,106.824,103.2413,107.8641,103.6784,104.9662,102.8254,97.6569,97.4639,98.1669,106.7382,105.7805,105.7027,107.0746,101.4084,101.809,105.4921,105.8488,103.7753,105.0294,103.7126,105.1403,104.684,106.4141,105.0927,105.0145,103.0695,106.161,104.8766,102.6468,103.7947,102.8799,103.145,102.7663
2017-03,105.9238,105.6107,105.3056,106.075,102.5817,107.9784,111.199,101.049,109.7505,106.6793,108.2453,104.9074,109.2144,107.6177,108.789,106.8419,99.9659,99.9563,99.9913,111.8642,107.1889,107.5298,118.4357,102.4367,103.0216,107.5537,108.1145,108.2578,107.7578,106.3584,106.2969,105.9316,114.0591,108.0971,107.8804,105.7508,111.317,107.673,112.7186,104.0537,103.999,105.5914,104.608
2017-04,109.4506,108.662,108.5645,110.4638,106.0002,112.5432,110.995,99.4502,114.0377,108.6769,109.504,106.1907,110.466,110.4164,111.2859,109.8405,103.6297,105.6246,98.3566,122.532,112.7523,113.297,140.4754,103.4704,103.8857,109.9679,111.4339,108.2534,108.5852,107.2061,106.5195,106.1573,116.7101,117.3494,117.4702,108.008,112.3921,109.5933,123.0399,106.7437,106.9207,106.9862,105.8914
2017-05,111.3091,110.5564,110.4815,110.2543,106.8364,115.4291,108.9804,100.4766,123.917,108.6712,111.204,107.2314,112.3573,111.7646,112.9895,110.9532,105.7716,107.8498,100.2784,126.0123,118.2408,118.9831,143.2847,105.9601,108.1716,111.5318,113.7973,107.4263,109.0421,108.488,107.6156,107.2264,114.1315,117.3533,117.4702,110.9068,118.3298,111.2218,125.9261,107.5511,107.9085,109.1074,108.2218
2017-06,112.4298,111.1791,111.0761,111.6473,107.1005,118.3413,108.7207,100.0195,120.4236,113.6316,112.0687,108.4038,113.1328,112.0463,113.7001,110.9508,105.7636,107.9672,99.9393,127.1536,119.0414,119.8122,144.9764,107.3218,109.5611,113.7365,116.0815,108.431,111.879,117.5043,107.729,107.3411,117.2087,117.0591,117.3195,112.7822,119.2107,112.1265,125.956,108.7289,109.0867,110.2463,109.7757
2017-07,114.0184,112.524,112.3765,112.9911,109.005,121.2765,110.5459,99.9019,118.3003,113.6089,113.7985,111.414,114.4908,114.6441,114.0427,115.0424,105.7652,105.7501,105.8051,128.3865,122.1227,122.7393,144.5793,109.2936,112.5497,117.285,119.5536,113.4673,112.9427,112.0199,111.2211,111.6128,119.4176,119.8053,118.6427,115.2405,119.9845,114.1256,127.1536,111.3908,110.8967,111.4859,110.956
2017-08,115.5674,115.0058,114.9149,114.9274,110.1383,122.3464,112.5687,101.8628,129.8065,115.0368,115.7905,114.7003,116.107,116.9571,118.7595,115.7632,105.0935,104.3284,107.1157,131.3004,124.5034,124.8987,149.5088,110.3561,113.3466,119.5298,121.0235,117.271,113.4674,113.1581,112.289,111.9337,117.4774,121.3918,120.451,116.5243,121.9978,116.8744,128.5598,112.212,112.2523,113.3637,112.9306
2017-09,117.5777,117.1654,117.2107,115.9342,112.0704,122.3644,114.4944,104.5823,138.6459,117.3172,116.7745,114.7618,117.3588,117.5981,120.3667,115.7642,107.9364,109.1016,104.8565,132.9221,127.8332,128.3521,149.5424,111.9858,114.2716,123.3663,123.8756,123.378,114.6184,116.3078,112.5314,112.0281,118.7909,121.5069,120.451,119.604,128.5178,117.8663,129.2793,114.3078,114.4389,113.6678,113.3113
