Fecha,Nivel general,Alimentos y bebidas no alcohólicas,Alimentos,Pan y cereales,Carnes y derivados,"Leche, productos lácteos y huevos","Aceites, grasas y manteca",Frutas,"Verduras, tubérculos y legumbres","Azúcar, dulces, chocolate, golosinas, etc.",Bebidas no alcohólicas,"Café, té, yerba y cacao","Aguas minerales, bebidas gaseosas y jugos",Bebidas alcohólicas y tabaco,Bebidas alcohólicas,Tabaco,Prendas de vestir y calzado,Prendas de vestir y materiales,Calzado,"Vivienda, agua, electricidad, gas y otros combustibles",Alquiler de la vivienda y gastos conexos,Alquiler de la vivienda,Mantenimiento y reparación de la vivienda,"Electricidad, gas y otros combustibles",Equipamiento y mantenimiento del hogar,Bienes y servicios para la conservación del hogar,Salud,"Productos medicinales, artefactos y equipos para la salud",Gastos de prepagas,Transporte,Adquisición de vehículos,Funcionamiento de equipos de transporte personal,Combustibles y lubricantes para vehículos de uso del hogar,Transporte público,Comunicación,Servicios  de telefonía e internet,Recreación y cultura,"Equipos audiovisuales, fotográficos y de procesamiento de la información",Servicios recreativos y culturales,"Periódicos, diarios, revistas, libros y artículos de papelería",Educación,Restaurantes y hoteles,Restaurantes y comidas fuera del hogar,Bienes y servicios varios,Cuidado personal
2016-12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2017-01,101.313,101.3069,101.2848,101.5263,98.9006,102.1541,101.683,103.5925,104.6613,101.9364,101.4518,101.4362,101.4562,100.5008,101.152,100.0013,97.8719,97.3044,99.5435,99.9812,99.252,102.0834,103.447,99.9653,100.8651,100.6718,101.3559,102.0863,100,101.7583,102.7677,102.1809,102.5154,100.6017,103.8174,103.8511,103.243,101.4745,103.9842,102.3552,100.4869,103.2868,102.273,102.117,101.4831
2017-02,103.8085,103.1646,103.3191,103.7498,98.8632,105.2875,102.9812,104.5837,111.8879,102.9893,102.1528,103.7483,101.7053,105.4806,103.1147,107.2951,97.4253,96.4909,100.1776,108.4042,106.6758,104.9897,103.6643,117.5975,101.2178,101.4867,104.6961,104.4548,105.3154,103.5441,103.536,105.6815,104.694,100.8509,108.0484,108.3067,103.3096,98.7331,105.3351,104.8476,104.936,105.1373,104.2501,104.1416,103.3753
2017-03,106.2627,106.7878,107.1358,106.6043,104.1811,108.0146,104.9851,102.2939,120.5272,104.535,104.5087,105.6819,104.1797,107.1121,105.2341,108.5523,102.0665,102.1897,101.7034,110.7756,103.9388,107.0834,105.1677,132.8936,102.1399,102.4425,106.6572,107.4339,105.9955,104.5685,103.0615,107.7273,104.9458,101.5113,110.6652,111.0449,104.8017,99.9789,108.1269,105.6987,111.9338,106.1813,106.2338,105.5869,104.9077
2017-04,109.0613,109.2144,109.6145,108.8026,106.8365,113.7921,107.6769,99.354,121.4805,105.7448,106.5938,107.6153,106.3074,109.5812,106.9521,111.5975,107.2381,107.9394,105.1722,115.889,105.4116,109.4185,108.0229,149.2137,103.1802,103.1592,108.1913,109.836,105.9955,105.0876,103.4924,109.3768,106.1296,100.6579,118.2386,118.6578,108.3531,100.3028,115.1047,106.5042,116.2786,108.3494,108.6171,107.5817,107.0113
2017-05,110.4607,110.3615,110.6764,109.7644,107.9101,116.5728,107.5965,103.0154,118.7987,107.221,108.2996,109.3215,108.013,111.639,109.7179,113.1124,107.9072,108.7197,105.5139,118.0458,107.0685,111.8493,109.165,149.8446,106.2886,108.1243,109.7879,112.7914,105.9955,106.2149,105.6756,110.3753,106.9844,101.296,118.1821,118.6578,109.3191,101.1319,117.2972,109.4338,118.5362,109.4833,109.9565,109.0808,108.3694
2017-06,111.9943,111.7923,112.1594,111.8159,107.6867,120.7837,108.7917,103.8696,120.886,109.723,109.3886,111.4103,108.8217,112.1628,110.925,113.1121,108.5621,109.587,105.5434,120.9192,108.8566,114.2723,111.4927,150.4024,107.7485,110.2349,111.1892,115.2263,105.9955,106.5466,106.952,110.4374,106.8864,101.3845,120.4465,120.838,112.5701,102.667,121.6714,110.6614,119.4016,111.3293,111.8373,110.1832,109.6552
2017-07,113.9199,113.1579,113.3581,113.7735,108.6299,122.983,113.1725,105.5239,118.3138,111.0635,111.8472,114.2781,111.1655,115.9318,114.6848,116.8882,106.5553,106.6837,106.1774,123.9173,113.3814,116.8074,113.5514,151.2087,110.4314,113.8282,114.9895,117.8516,112.3502,108.0683,105.612,113.5091,110.5142,102.7165,121.0689,121.5192,116.1042,103.418,122.6083,113.4665,120.2404,114.0646,113.6858,111.7819,110.6869
2017-08,115.6031,115.6549,115.9763,115.1724,109.6625,123.9151,115.0445,107.6136,132.4887,112.8072,113.5497,115.7746,112.9258,117.4477,117.2244,117.6189,105.6182,105.5554,105.8031,127.1644,118.0909,119.277,118.1049,151.6239,111.5098,114.5533,118.3191,119.6674,117.8376,109.2582,106.0438,114.1051,111.1945,105.124,123.3833,123.8755,116.1082,106.0375,123.1364,116.8485,121.9879,115.0985,115.2893,113.4518,112.4772
2017-09,117.9656,117.8695,117.9722,116.4169,111.4581,124.935,116.936,110.5278,136.897,115.09,117.1965,117.6045,117.082,118.2786,119.1381,117.6195,111.8326,112.4213,110.0988,128.2415,119.7308,121.9879,120.2478,151.2783,112.5568,115.1427,121.1943,121.5662,123.183,110.258,108.5672,114.7803,111.5015,105.5933,124.5391,125.0713,120.017,109.3991,129.193,118.3026,128.2949,116.4971,116.747,115.5821,114.4987
2017-10,119.4985,119.695,119.6865,117.2277,112.8241,125.1418,116.708,116.3446,142.0788,116.9328,119.7509,118.8375,120.007,122.1014,122.5175,121.7823,113.6026,114.4795,111.0196,128.9128,120.9339,123.9424,120.3733,151.2344,113.4367,115.8833,122.1487,122.9163,123.7274,111.165,109.4288,116.4017,113.0559,105.6263,130.4597,131.2076,120.605,108.4878,130.8004,119.9114,129.2551,118.4669,118.7645,117.3347,116.3376
2017-11,120.8941,120.909,120.5673,118.6479,113.3578,126.9029,117.1548,124.5383,137.451,118.4717,123.1472,121.0685,123.7301,123.4181,125.1008,122.1277,114.8528,115.4594,113.066,130.1608,122.9444,127.2592,121.8438,151.071,114.2362,116.2894,123.5655,125.2494,123.7274,114.133,112.5041,120.487,118.0853,107.1175,131.1853,131.7996,120.7139,110.2262,128.8521,121.7595,129.7823,120.4916,120.7772,118.7033,117.9595
2017-12,125.0392,121.5528,121.0586,120.3968,114.7887,127.6933,118.4661,128.2868,128.7944,120.6912,124.7888,123.3341,125.1967,124.1072,126.684,122.1309,115.6853,116.5654,113.0929,154.7145,132.6422,130.1058,123.9063,229.0675,117.6715,121.888,127.1571,127.0154,130.4472,117.4772,114.9219,125.4476,124.3082,108.9933,134.1889,134.8473,121.4988,108.505,129.8993,122.3487,129.748,122.6855,122.7832,119.6537,118.9666
2018-01,127.0147,124.7282,124.3649,122.3894,116.6639,129.2001,119.5478,134.2068,140.5246,122.8324,127.1077,126.2107,127.3593,126.72,128.1111,125.653,113.6271,114.0148,112.4851,152.2688,127.1487,132.5224,128.3487,229.3967,119.0239,122.7023,129.5154,129.6334,131.2071,119.9686,119.848,128.358,127.3471,109.4526,136.6736,137.375,126.2139,111.1969,135.3325,126.1718,129.8915,126.6387,125.1665,123.6102,121.219
2018-02,130.2913,127.7802,127.5025,125.861,121.752,130.766,121.3079,149.3747,132.4618,125.8877,129.5989,129.2817,129.6878,128.8967,129.2009,128.6634,112.9568,112.9512,112.9732,159.7757,131.2311,136.217,131.6893,249.38,121.135,124.9557,133.0564,132.1515,135.9347,125.3874,121.9265,132.8451,132.6409,118.1098,147.1762,147.8297,126.5606,112.0055,134.4736,127.7017,131.8309,128.916,127.8694,125.3827,123.2734
2018-03,133.5028,130.2899,130.0796,129.4417,125.5924,134.7596,123.4939,149.8947,127.3594,128.8346,131.6673,131.1891,131.8014,129.7445,131.0319,128.7571,120.665,122.5581,115.0892,161.3686,132.7922,138.7211,135.0944,250.7294,126.9603,133.6759,134.3951,134.2827,135.9347,127.0591,123.9301,134.6954,133.8691,119.351,150.5486,151.4351,128.1069,111.774,139.9371,129.0978,151.1936,130.7344,130.5076,128.3929,126.0602
2018-04,136.938,131.3352,130.9986,133.0652,126.025,140.0406,126.8643,138.9096,122.8339,130.1382,133.5392,134.0851,133.3861,131.1986,132.1548,130.4652,124.603,126.3688,119.402,172.2109,137.2525,141.1518,138.9743,283.3288,128.378,134.6652,136.3736,137.3384,136.4685,133.7633,127.3691,141.0522,141.6085,128.5097,151.5764,152.5646,130.8525,112.3345,144.4182,129.3553,152.0724,133.5964,133.6209,130.1922,127.9848
2018-05,139.58,136.169,136.2518,140.897,128.6467,143.2863,132.7838,135.3519,141.2389,133.7134,135.6269,138.1058,134.9318,133.0263,134.4357,131.9454,126.7286,128.5949,121.2316,170.0052,139.4446,144.6152,142.0712,262.8982,131.3665,136.0919,139.4698,141.3989,136.5172,136.4371,132.9658,143.9829,143.4044,129.0546,157.0028,157.8075,133.4245,116.5318,148.0347,133.9451,152.5495,136.359,136.6086,132.2034,130.4038
2018-06,145.0582,142.6321,143.1912,150.5734,135.6706,148.4525,140.9438,131.3512,153.2279,137.0018,138.9705,147.6169,136.5459,134.4741,135.7674,133.4823,129.4344,130.9355,125.013,176.5691,146.8728,148.6714,146.6733,263.2768,136.5173,140.2269,146.1936,148.1108,146.7567,145.3092,146.1689,149.2229,148.6171,139.838,157.3577,157.8075,138.5918,121.598,151.8613,137.8699,154.778,140.6163,141.0514,135.9377,134.7366
2018-07,149.1178,148.2702,149.3178,156.0418,139.0624,151.918,148.5868,133.6687,175.3572,141.0436,141.4099,153.6353,137.9817,138.0029,137.7618,138.1877,128.5779,128.9394,127.5132,176.5774,143.991,151.3089,154.8468,265.6862,142.4208,145.7264,149.7694,153.8124,146.7567,151.5932,158.4674,157.0875,157.0608,140.4133,158.0181,158.2332,145.2476,129.0803,156.1177,145.5205,158.2487,144.8046,144.3009,141.7807,139.7201
2018-08,155.1747,153.4382,154.9028,160.2374,144.6343,157.0051,154.5743,137.8713,186.1319,145.6868,143.8475,162.0562,138.7414,139.4902,138.0795,140.5722,129.5497,129.8453,128.679,191.835,154.2127,154.3268,160.1342,302.6306,146.89,150.2083,157.345,160.2875,158.2946,156.6031,158.4136,162.0933,162.6213,148.5548,182.2124,182.9224,147.2747,134.5218,158.1513,147.8076,161.3912,148.3622,148.5343,149.6257,144.2072
2018-09,165.4903,164.5645,165.556,177.4094,159.4494,168.6808,173.8923,152.3892,164.6777,156.4578,158.0713,176.2784,152.9657,145.5596,142.8267,147.6555,146.5657,148.2983,141.4623,193.24,152.1936,158.0753,174.7381,305.9733,161.5882,160.4106,164.1223,173.856,158.2946,173.2611,184.063,177.7027,178.5194,160.9854,184.712,185.1359,159.1452,153.5153,166.7418,159.5869,165.0215,157.6511,158.2398,160.8222,157.1074
2018-10,173.8549,174.56,175.3176,187.6042,164.509,179.4351,185.4045,164.7146,185.0367,164.776,169.599,188.287,164.3586,149.2238,149.7586,148.8136,153.6809,155.1177,149.4485,206.9187,158.6325,160.932,182.2189,343.9965,167.8866,166.9119,173.6915,183.5252,170.9542,185.6149,196.5015,192.6403,195.7611,170.0253,185.1122,185.1359,162.6265,153.5416,164.7327,166.4719,169.7671,161.7351,162.4583,170.4386,166.8728
2018-11,178.877,180.0567,180.4498,193.889,167.3059,191.0637,191.2428,167.9627,186.1006,170.6706,177.4826,195.0848,172.5466,156.5632,156.4468,156.6525,156.2891,157.41,152.9874,208.9736,156.9964,163.5089,184.1937,355.2454,173.9992,173.9075,179.6549,196.0871,170.9542,191.1071,203.8981,197.9855,201.8552,174.5272,193.5709,193.63,169.4774,163.9353,170.087,172.0568,171.616,166.2958,167.0451,176.4477,174.0626
2018-12,183.9381,182.9765,182.8646,198.5822,169.3298,197.8399,194.1091,170.2636,175.8729,178.3138,183.7099,199.3881,179.3134,158.6651,159.2583,158.2102,156.8619,157.3429,155.445,218.8376,174.0792,166.7797,187.6337,355.1869,176.638,176.6305,190.5132,207.8016,185.4799,197.0384,205.2689,202.7245,206.8911,184.7792,206.5853,206.8448,173.7047,166.1915,173.5137,173.8911,175.1903,170.1262,170.2621,182.4813,179.9347
2019-01,189.1236,189.9154,189.4937,203.9034,177.6757,204.4208,198.3761,176.3623,178.5922,185.8041,192.6766,207.4217,188.5418,164.645,162.6949,166.1407,155.5131,155.3382,156.0283,221.858,174.9588,170.9399,191.2487,359.8321,181.3132,182.4844,194.6462,215.0825,185.4799,203.4532,208.5875,204.5621,206.5087,198.8836,223.5279,224.1945,179.1848,170.7457,178.2131,179.0094,175.7777,175.7302,173.9994,189.548,189.4395
2019-02,196.3597,200.3367,200.6375,209.4483,196.0335,210.7294,200.6404,182.7022,194.5325,189.9897,198.3671,214.0314,193.9745,168.4551,165.9624,170.3669,157.0732,156.3289,159.2655,237.6627,180.7331,175.0847,197.6996,402.6037,185.7125,187.6897,201.7245,221.1017,194.7559,208.7417,211.0901,207.4838,208.9215,208.8796,226.7862,227.423,183.6484,171.242,182.4278,186.2402,179.2309,182.0486,181.057,193.9828,194.6237
2019-03,205.7679,212.0319,213.2618,217.0327,214.0423,225.6359,208.6195,178.7876,211.5755,194.9841,203.9777,222.6376,198.7451,175.4443,167.8188,181.2926,170.2354,172.017,164.9877,246.3054,183.9298,178.8148,200.3838,429.4075,193.4887,195.5477,207.4407,232.1544,194.7557,217.7008,218.2612,212.4996,213.8491,223.9207,236.2025,237.1585,185.2328,174.4456,184.0557,191.1725,210.87,189.6348,189.9113,200.4224,201.4535
2019-04,212.4469,216.2942,217.5355,223.7279,217.6008,241.4468,220.6737,176.8836,193.8753,203.1118,208.1661,229.4644,202.1936,177.3908,170.5157,182.6635,180.8128,181.6555,178.3305,254.7437,187.1671,184.0643,206.2957,453.9162,202.1052,204.8172,213.8031,244.5326,194.7557,226.1383,228.789,220.8762,223.408,231.1445,243.883,244.3674,191.4187,185.8659,188.8244,200.4261,213.02,197.2612,198.161,205.7455,207.5786
2019-05,218.8793,221.9977,222.7328,230.2308,216.6415,259.5312,240.3554,178.4488,194.379,211.4297,217.1839,240.0381,210.7751,181.1723,172.5903,187.7542,185.3862,185.9109,183.8406,263.5952,196.105,188.1844,212.9539,459.1858,208.7736,211.2922,225.6527,257.1317,209.3542,232.7179,237.2183,231.9514,234.7245,230.9072,246.7191,246.9709,196.6069,194.8194,200.3689,201.5688,224.273,201.3577,202.7201,210.9243,213.6823
2019-06,224.6105,227.9555,228.8497,236.289,217.6898,274.6849,248.4934,176.5706,205.9507,219.1971,222.0998,254.0507,213.1401,186.2069,176.2838,193.8172,187.7146,187.5387,188.233,270.5535,199.3264,192.3408,216.9957,466.8376,215.6745,218.3992,231.8228,269.3805,209.3542,237.3329,241.8725,236.5947,238.7879,235.4622,266.2708,267.0445,202.8122,204.9616,205.8369,206.0032,228.9437,205.682,207.1395,214.0628,216.8724
2019-07,229.4286,233.6669,234.835,241.065,217.9084,282.0669,255.1108,180.3475,231.638,225.7603,226.0174,261.5373,216.057,188.3557,181.2304,193.8204,187.6964,186.1882,192.139,276.9197,208.1836,197.0157,222.5588,469.7305,220.6806,222.8643,240.7959,278.3971,220.8699,237.3299,233.7441,240.1444,243.5253,235.9907,266.7107,267.0445,211.161,212.0021,209.3879,212.2245,234.0668,211.426,211.5521,220.5043,222.7088
2019-08,238.3069,243.7857,245.2425,252.5237,225.9121,290.0363,266.4236,196.3567,247.9732,237.4754,234.2459,267.7976,224.8373,196.6496,184.3633,206.0723,193.4764,190.5972,201.9571,281.3647,211.5563,202.4586,236.6537,473.5235,234.5388,231.649,253.7682,295.2566,233.505,247.2147,270.9574,244.7387,245.1187,235.6823,270.3128,270.2831,222.3902,234.7414,217.0144,224.1035,238.4995,218.1493,218.7755,229.5674,233.7414
2019-09,252.1482,257.577,258.8662,269.7672,241.1107,294.5778,283.2795,213.5099,256.8229,254.904,249.1346,273.1664,242.3956,208.2246,190.5431,221.7851,216.0233,215.3623,217.9703,285.7905,214.3774,206.7147,249.6823,479.0131,252.4058,245.5361,272.9536,325.0451,246.2437,258.2652,294.4263,253.2126,249.9935,242.3187,288.495,288.4406,239.5231,262.4042,225.1682,238.9375,240.667,229.7003,230.7099,248.064,255.1176
2019-10,260.2101,263.9796,264.3277,274.9045,244.9304,304.594,295.7573,224.2133,253.2125,265.2809,261.6998,282.9813,255.7321,221.6366,202.5701,236.2592,225.8875,225.0503,228.3535,291.3924,222.8195,211.7529,254.0047,480.7124,274.3482,277.4755,285.3789,342.2155,256.0902,264.6173,309.3534,259.1187,255.261,243.9399,288.7268,288.4406,244.9917,267.7242,231.7586,246.4909,243.7719,235.7793,236.7015,257.2619,264.552
2019-11,270.8019,278.9293,279.8687,287.4814,261.3987,309.0475,299.3284,285.8905,270.9499,276.2001,272.7777,292.6286,267.2111,233.7037,211.2339,250.9365,235.2338,234.1938,238.2971,296.2231,231.2831,216.0979,263.102,476.8774,274.4191,269.233,302.0045,369.1579,266.3311,274.2968,322.6688,271.856,270.294,247.5146,308.4409,308.4467,251.8864,276.9516,231.2545,254.3129,262.1762,243.0714,243.9129,268.2379,276.8458
2019-12,281.1775,286.7624,287.5419,297.1307,274.5628,315.3321,305.3691,288.7472,260.918,288.9702,281.6576,305.7226,274.9094,240.841,216.5656,259.4586,239.8547,238.1631,244.8373,304.2973,242.4869,219.7458,273.1671,479.676,289.603,291.3928,321.226,384.5109,298.2894,286.4677,337.0961,285.7794,288.0939,256.0801,339.7093,340.7941,259.0867,276.5568,242.924,262.5506,271.9906,251.95,252.1809,277.808,288.666
2020-01,286.4913,300.0787,301.4691,309.6337,290.7166,332.7137,321.2367,288.677,268.5421,307.8612,290.9738,327.6189,280.6978,251.6766,222.8156,273.8111,241.2054,238.7378,248.4738,302.4597,237.6359,224.7543,280.4365,479.676,284.2234,277.5777,313.7127,365.0841,298.2894,288.7529,338.5277,289.366,290.2314,257.2493,340.007,340.7941,273.4152,278.2092,258.9543,269.9309,275.0782,262.5728,259.8821,287.0117,298.1345
2020-02,291.737,307.382,308.514,316.0184,296.0766,336.7935,327.2018,292.2358,286.4707,319.2672,299.969,339.8267,288.7921,254.7114,224.6821,277.7419,246.8443,244.3029,254.3301,305.987,243.3758,230.7931,286.1203,478.3448,289.6399,283.1276,314.5439,366.2034,298.2894,292.7309,346.922,291.7583,290.7297,260.5028,348.3377,348.7747,276.1504,280.988,259.179,277.4844,277.2068,271.2264,269.2798,294.6889,305.9402
2020-03,302.2274,319.0265,321.1123,322.5663,308.8905,344.2212,329.8898,304.1698,323.3153,328.7132,305.3673,346.8901,293.7235,262.8594,228.5787,289.1504,256.9769,256.4277,258.5949,312.0891,252.9747,237.435,296.5163,476.5262,298.1909,290.778,322.7929,378.3949,298.2894,299.2677,364.5498,295.2203,291.08,264.0736,377.4036,378.9086,285.3886,299.1401,273.6322,282.9691,332.7222,276.4127,276.1878,301.2623,312.5408
2020-04,306.4483,329.2541,332.563,326.062,319.7194,347.643,328.3284,325.7668,360.6569,338.3231,307.5858,344.3954,297.2637,265.5114,226.781,295.215,260.5659,///,///,312.7519,254.6747,240.1874,303.9231,471.7923,301.065,292.1763,325.5447,384.2822,298.2894,304.8307,383.45,297.8862,291.9852,265.0599,366.5663,367.168,291.2965,300.5284,276.2951,298.343,325.4832,280.2731,///,300.1314,311.0266
2020-05,311.0922,330.0889,334.1011,326.9938,317.985,350.3643,330.0907,322.1375,377.0881,336.84,303.8145,344.8709,292.3015,265.3951,226.5098,295.2175,286.9266,286.2286,288.9825,313.5388,254.3977,239.6559,319.1993,468.2834,309.6676,298.0877,328.2396,384.8329,298.2894,305.5751,380.8315,299.6254,291.9668,266.6246,368.3501,367.168,300.6242,354.0471,268.5843,298.0705,319.0977,284.5204,///,307.3484,318.4816
2020-06,317.4661,333.9281,337.9607,333.0704,320.9102,352.79,328.39,322.7048,387.4855,338.7155,307.5207,346.4439,296.6059,275.0824,227.3959,311.6548,301.8875,300.5731,305.7591,315.6588,256.8997,243.6906,326.58,467.7328,323.5848,299.4056,333.0725,395.117,298.2894,311.2991,397.4825,303.581,293.3481,267.835,369.712,367.168,315.8605,406.7696,268.8085,304.5187,317.4008,290.3498,///,305.9117,317.9031
2020-07,322.6791,338.3654,342.0183,339.9365,328.8669,357.9072,333.5283,323.4146,372.3136,342.1264,314.444,358.0303,302.2215,279.3943,232.4806,315.3739,306.0252,305.6876,307.0196,317.1731,258.0598,245.5019,334.7948,467.3498,337.7372,301.2348,338.6919,406.0055,298.2894,316.7508,414.9437,306.6865,293.697,268.8342,376.6322,373.4038,322.8434,421.9567,272.3185,308.9565,315.7214,295.1175,///,315.1177,329.8148
2020-08,331.6957,350.8916,354.5641,346.0526,339.9447,365.9492,344.4237,350.991,402.9696,351.0123,326.8419,371.9349,314.197,283.5739,242.1054,315.3775,313.901,314.1428,313.1887,325.1627,264.5783,250.9998,361.9871,472.2265,349.4358,306.08,346.6054,421.2971,298.2894,325.6423,438.6482,313.8089,300.883,270.8137,377.5922,373.4038,333.5596,449.322,272.9755,323.686,319.0605,299.703,299.2676,330.7462,346.085
2020-09,340.902,360.8055,366.4339,352.8282,346.4588,363.5757,347.5655,383.4465,458.1493,355.6085,323.9477,370.7759,310.8161,296.1978,243.9343,336.2805,337.4421,338.7956,333.4554,328.7368,266.8326,254.6721,369.559,478.1398,359.6755,308.9471,356.5201,442.3492,298.2894,336.7613,463.9501,324.8907,313.032,273.2236,374.475,370.1047,341.8011,468.075,273.5866,332.4857,319.8581,303.5529,302.8752,339.9264,355.4553
2020-10,353.0444,378.0836,384.7169,361.9277,358.6988,371.8535,362.2304,417.1266,530.5306,359.8525,334.6448,382.5182,321.2202,302.2957,255.8571,337.9109,358.4122,360.5409,352.1424,335.9612,272.6737,264.2728,397.2673,481.1627,376.6123,321.3489,365.4615,459.1646,298.2894,350.6817,493.9544,339.6344,327.9007,276.175,372.4854,367.168,350.2174,475.3062,273.8196,343.2321,319.9665,313.6212,312.8811,346.3864,362.2481
2020-11,363.5381,386.1547,393.0692,371.9329,378.2136,378.7179,374.7858,446.8396,494.4944,365.5663,340.8744,393.4126,326.1416,309.5605,260.0011,347.5692,369.1583,368.5155,371.0516,344.243,282.4168,270.5571,420.5811,481.75,391.3552,332.7256,378.0142,482.2608,298.2894,365.0886,525.4578,347.5457,334.6477,288.2268,365.8217,360.2103,369.5455,472.5112,312.4262,359.5302,321.4936,324.4805,323.7975,357.917,371.584
2020-12,377.0507,396.893,405.0866,376.229,430.8314,378.9446,378.8203,474.5802,412.2265,367.802,343.2365,402.5629,326.6002,318.3355,262.9736,360.7944,383.9238,384.2749,382.8896,358.4496,304.3531,277.5582,436.4831,482.4681,398.9083,337.0137,399.8237,503.98,328.118,383.3669,552.8296,359.7325,348.3105,308.5808,365.6122,360.2103,387.546,483.9892,332.0594,365.3276,321.4474,342.5174,341.1674,362.6176,377.4328
2021-01,389.4454,412.7351,422.0395,383.4501,458.4069,386.8947,387.6559,523.8391,414.3465,367.6159,351.8047,408.4392,335.9233,331.3735,270.2495,378.2516,384.2546,383.1666,387.4594,355.0014,291.9236,286.1373,458.3057,486.1146,409.698,343.6168,412.6576,527.3075,328.118,394.4234,566.3116,384.741,376.6151,300.5273,426.7295,422.3405,404.775,495.6381,349.6919,375.2661,323.7569,362.4122,357.6616,370.1955,385.3291
2021-02,403.4854,429.2024,439.0684,398.2318,470.9513,394.9819,397.5045,565.3865,454.0822,380.1731,364.5943,430.5556,346.0975,343.4201,283.9343,389.0418,393.1268,390.1657,401.8487,362.9717,301.4606,294.5284,484.1488,484.667,430.1651,364.4284,424.7791,548.3146,328.118,413.5101,616.2406,402.0611,394.3974,302.8029,430.8196,426.0099,415.6103,507.4556,359.6972,395.7156,323.7569,383.4441,380.6673,382.4193,400.1312
2021-03,424.4539,450.199,462.8377,412.9266,502.8484,429.1232,422.8353,555.1302,482.7981,386.506,367.4336,440.4362,346.9622,364.9237,298.3711,415.965,456.928,463.0911,438.7749,366.4275,306.472,302.7106,491.9601,483.678,443.5191,374.8675,441.8719,570.8157,339.598,428.9895,643.4593,415.486,408.0536,313.6283,431.2261,426.0099,430.1147,521.3288,374.634,407.1647,421.306,393.6314,394.777,390.6556,408.6559
2021-04,441.8955,471.3873,484.6536,436.3003,526.4824,468.8681,456.3562,551.6775,478.4617,405.3618,384.5121,474.8463,359.1806,378.9455,325.9023,419.626,479.455,487.3486,456.2046,381.5934,324.3343,321.0829,526.1623,488.8109,464.2104,389.54,458.5319,592.5408,354.8336,450.674,670.1314,448.7084,439.8674,317.6687,433.3354,427.9263,441.9046,534.4403,401.2032,414.423,434.3193,406.2058,408.9757,406.0666,419.0016
2021-05,456.7856,485.7727,499.2964,453.1714,549.9065,481.9577,474.0736,504.9281,501.8085,414.5306,397.2118,496.4043,369.3963,383.2759,335.8732,419.6306,480.4131,489.5478,453.507,391.89,331.6092,332.1374,544.3545,505.8136,474.3771,398.6265,482.7101,627.1808,374.2577,479.0633,707.5316,491.2506,489.7366,322.6286,440.3408,435.2738,458.7188,547.1088,420.9676,432.6704,445.9948,424.6215,427.2987,416.2814,428.5178
2021-06,470.784,502.4521,516.4933,473.7757,575.219,511.7433,495.5951,493.7159,482.0859,424.3591,410.5022,519.8012,379.8526,405.2644,354.294,444.3552,499.33,504.6922,483.5356,400.3266,337.7146,342.0757,555.2272,521.3636,489.811,412.9285,493.1037,648.5899,374.2577,494.8991,734.9159,506.3958,503.9198,332.2065,471.0799,466.3875,467.0966,556.0277,425.183,442.6056,450.4861,436.5722,441.6113,423.1317,436.3211
2021-07,485.3036,520.3921,533.8775,488.3373,577.3656,535.1417,524.8062,490.528,548.9691,444.836,432.0822,551.5503,398.581,419.5961,383.0304,447.6396,502.5215,506.2135,491.6468,414.8198,353.3596,352.4974,598.5146,524.4004,502.9341,424.4476,507.3922,673.234,374.2577,502.5147,756.8068,512.4767,504.979,332.9465,471.7787,466.3875,485.3674,563.8371,433.4099,459.0887,468.179,460.7445,462.1478,438.8603,453.5654
2021-08,497.9371,527.856,540.2923,499.6282,579.1841,552.4897,540.8678,504.39,527.76,464.3941,446.4162,583.8323,407.882,427.2299,400.6141,447.6424,522.0937,527.5933,505.8947,426.6639,372.5012,359.2718,606.3734,525.6591,518.0532,438.7939,531.3048,695.7748,407.9403,514.2602,786.8578,521.4618,511.6217,336.8752,465.939,460.2506,503.5727,589.2038,446.5197,489.8648,488.7261,470.135,474.4869,452.6267,469.9683
2021-09,517.0425,545.0917,558.3365,515.627,586.8079,578.7129,554.7404,529.5998,558.505,488.8512,458.3576,601.8815,418.1107,453.6391,423.103,477.0582,557.3109,564.3315,536.632,432.5079,378.2932,368.4727,618.4939,530.642,538.1518,457.2696,556.5408,717.453,444.6522,533.3557,827.9185,532.4038,515.0927,352.7028,483.9435,479.6459,520.4777,589.9524,468.9422,503.3499,506.6458,491.3744,494.8751,460.9736,478.4782
2021-10,536.5423,564.4767,578.2259,532.1865,594.6119,594.7769,570.684,575.9343,619.6324,507.3318,474.4392,625.2494,432.1491,460.1521,434.8891,479.5271,589.8082,599.8244,560.3055,445.2315,396.7718,384.3873,635.3831,532.6736,553.1724,468.5714,588.5367,749.7467,484.6668,550.2513,839.2154,539.5044,519.1571,385.4195,488.7798,484.2682,545.2419,617.7364,485.9655,534.5689,511.521,511.343,516.1073,479.0735,498.0167
