fecha,Nivel general,Alimentos y bebidas no alcohólicas,Alimentos,Pan y cereales,Carnes y derivados,"Leche, productos lácteos y huevos","Aceites, grasas y manteca",Frutas,"Verduras, tubérculos y legumbres","Azúcar, dulces, chocolate, golosinas, etc.",Bebidas no alcohólicas,"Café, té, yerba y cacao","Aguas minerales, bebidas gaseosas y jugos",Bebidas alcohólicas y tabaco,Bebidas alcohólicas,Tabaco,Prendas de vestir y calzado,Prendas de vestir y materiales,Calzado,"Vivienda, agua, electricidad, gas y otros combustibles",Alquiler de la vivienda y gastos conexos,Alquiler de la vivienda,"Electricidad, gas y otros combustibles",Equipamiento y mantenimiento del hogar,Bienes y servicios para la conservación del hogar,Salud,"Productos medicinales, artefactos y equipos para la salud",Gastos de prepagas,Transporte,Adquisición de vehículos,Funcionamiento de equipos de transporte personal,Combustibles y lubricantes para vehículos de uso del hogar,Transporte público,Comunicación,Servicios  de telefonía e internet,Recreación y cultura,Servicios recreativos y culturales,"Periódicos, diarios, revistas, libros y artículos de papelería",Educación,Restaurantes y hoteles,Restaurantes y comidas fuera del hogar,Bienes y servicios varios,Cuidado personal,region
2016-12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,Region Noreste
2017-01,101.6727,101.7326,101.7363,101.7136,100.2153,102.9346,101.8631,103.6335,104.9004,102.7023,101.7,101.5488,101.7519,100.7754,101.3837,100.0016,100.2847,100.6044,99.5825,101.394,104.8111,105.4276,99.4922,101.4132,100.8856,102.5966,103.6205,101.3112,100.3463,101.4184,99.7647,99.509,100.2958,102.7252,102.9493,103.633,105.1661,102.0618,101.6601,104.2939,103.8556,102.0562,101.9754,Region Noreste
2017-02,103.4617,103.3712,103.3208,102.894,100.6351,105.4341,105.2686,104.5632,109.6906,106.2349,103.8106,102.1659,104.3753,104.2784,103.1228,105.7484,100.4291,101.0945,98.9681,103.9854,108.7742,108.9282,102.4889,101.7747,102.635,105.2343,105.5326,105.6895,101.2812,102.5296,100.6973,100.452,100.9873,107.0976,107.4178,105.6846,107.4875,107.4075,109.7825,108.3164,107.9867,103.2166,103.1591,Region Noreste
2017-03,105.988,105.0298,105.0519,104.6449,102.9874,108.627,104.1701,96.1416,111.7862,109.4491,104.8377,105.0738,104.7566,106.3092,105.8973,106.833,103.2313,103.8599,101.8509,113.2471,112.4311,113.4159,116.5425,103.1742,104.159,107.6407,107.7486,109.633,102.3716,103.8963,102.0625,101.8728,100.9987,110.7662,110.9125,105.7406,108.8534,107.0263,123.958,110.4746,110.5993,104.5375,104.5162,Region Noreste
2017-04,108.3473,107.9352,108.043,106.3181,106.2397,113.5727,106.743,97.9005,115.1872,110.9821,106.9962,106.7599,107.0773,109.4168,109.0911,109.8312,103.2573,105.6171,98.0754,116.5835,114.5547,115.6713,122.1095,104.9504,105.0002,110.3274,111.1536,109.633,102.8986,104.8303,101.9295,101.7699,102.6091,120.0581,120.1146,109.1455,109.9417,113.3606,125.2085,110.876,111.0573,107.7262,107.5726,Region Noreste
2017-05,110.4331,109.8801,109.9564,108.1287,107.5789,117.7776,112.2389,97.0038,116.7551,112.4478,109.2163,108.4051,109.4948,111.5329,111.6946,111.3272,107.3624,109.4955,102.6783,117.776,115.895,117.0931,123.7371,106.8457,109.1434,112.6649,113.8781,112.3761,104.8915,107.0518,102.6965,102.3367,107.3568,120.4868,120.4446,109.7089,110.3549,114.0254,125.2085,114.1092,114.4334,110.1254,110.1535,Region Noreste
2017-06,111.9403,111.3432,111.5112,109.9775,109.6283,120.0426,114.56,95.5699,115.8468,115.6349,109.8795,109.6496,109.9585,114.2932,116.6012,111.3574,107.6865,109.6607,103.3516,120.8334,118.4019,119.737,126.7152,107.4653,110.455,114.5041,116.285,115.4877,106.5643,107.4835,102.9678,102.3961,114.2969,120.8067,120.7674,112.3574,113.258,117.3524,125.4614,114.7012,115.0118,112.9007,112.8284,Region Noreste
2017-07,113.3741,112.1396,112.0989,111.202,110.8883,122.6108,115.6965,95.3501,110.6282,116.7224,112.4937,111.4676,112.846,117.5087,119.4435,115.0476,107.3429,109.5246,102.5524,122.6814,120.6301,121.6255,127.3233,109.8963,114.1597,116.3472,119.4306,115.4852,110.6746,112.407,107.8954,107.6103,115.2096,121.6829,121.2906,114.8339,114.7592,120.8155,126.8147,114.911,114.7583,113.985,113.282,Region Noreste
2017-08,114.6809,113.6752,113.4804,110.2615,111.6619,123.348,120.6491,99.7803,117.2976,117.0144,115.3716,113.2293,116.1071,119.621,122.6484,115.7701,106.0912,108.1388,101.5948,125.24,122.6944,123.3129,131.1521,110.2027,114.0787,119.303,121.1483,122.5252,111.5878,113.55,108.2121,107.7253,117.296,122.6999,122.5253,118.114,122.2182,123.9536,128.4191,114.8047,114.8848,117.2701,116.6009,Region Noreste
2017-09,116.1702,115.5282,115.2395,111.2371,113.6282,124.156,123.0221,102.2103,120.71,118.8946,118.0424,115.9012,118.7775,120.8207,124.7757,115.7898,108.3729,110.7603,103.1306,126.0757,125.1041,125.8757,130.7672,111.002,113.7843,121.3068,123.2477,124.6119,112.4219,115.7027,108.5294,107.852,117.5691,123.532,123.2362,119.7391,122.9118,126.0823,130.8278,115.1332,115.215,118.3978,117.775,Region Noreste
2017-10,117.9026,117.3227,116.9374,111.731,115.5561,124.7241,125.2913,105.8268,123.9465,121.394,120.6777,118.3073,121.4915,124.096,127.4029,119.8895,109.2453,112.2424,102.6643,127.2673,126.7648,127.6288,131.002,112.0223,113.7169,122.9813,125.3232,126.1391,114.7539,118.1972,111.3235,110.8598,118.5123,129.6928,129.3328,121.6468,124.0608,127.7774,133.2249,115.6492,115.7186,119.5804,119.0164,Region Noreste
2017-11,119.696,119.117,118.7259,111.8784,116.9719,124.6738,129.6898,111.2387,130.3356,123.7755,122.5233,119.2009,123.664,125.5617,129.8221,120.1425,111.6844,113.4802,107.741,129.5474,128.7329,129.7198,131.2767,112.8144,114.2227,124.4777,126.9457,127.9889,118.3001,119.058,116.7323,117.1285,121.1676,130.2373,129.9407,121.8421,124.1388,127.7009,133.2249,117.6072,117.6697,120.5569,120.0225,Region Noreste
2017-12,122.2757,120.4544,119.7569,112.969,118.7639,125.577,130.9479,112.5174,128.117,125.5343,126.5281,121.2427,128.3428,126.1257,130.83,120.1418,113.2348,114.6715,110.0801,142.9635,133.8327,133.9791,156.9179,115.0816,118.6374,125.7386,128.7567,127.9889,121.8522,120.4947,122.2763,123.1575,122.7006,130.9961,130.4968,123.0341,125.287,129.9824,133.36,119.8308,119.8083,121.3574,120.8254,Region Noreste
2018-01,124.7172,122.2391,121.5664,114.3347,120.6361,126.653,130.4208,115.1243,131.5055,126.9673,128.0966,122.285,130.0919,128.6477,132.5461,123.689,114.0396,115.894,109.9676,150.8653,138.0458,139.4693,171.1816,115.7603,119.5866,127.9916,130.5556,132.3702,125.8222,122.616,128.0407,129.3676,124.7716,134.3457,132.7145,126.1201,127.9303,132.313,135.1629,121.1752,120.3761,122.9868,122.0044,Region Noreste
2018-02,127.2934,124.745,124.0122,118.2426,122.7981,127.6996,131.6981,119.9868,132.7383,130.5265,131.1264,125.6082,133.0209,130.937,134.3209,126.6326,112.5759,115.1554,106.9119,156.3803,140.3825,141.6935,177.8197,117.5562,121.7353,130.8022,133.0623,136.8911,129.3279,124.5249,132.5958,134.546,127.8938,146.6641,144.2006,127.2774,128.5159,136.2405,138.1402,124.5937,124.0153,125.2907,124.3072,Region Noreste
2018-03,130.3843,127.8202,127.0226,122.2016,125.2046,133.1029,133.0509,124.9263,132.5631,133.8873,134.7657,127.7614,137.1706,131.8207,135.8312,126.7194,113.4136,115.65,108.5029,158.1823,143.5178,145.0003,178.0877,121.6517,129.0834,133.2952,134.9704,139.2796,134.3939,128.3433,139.4616,141.9216,130.1999,150.5669,148.4217,129.8517,130.2219,141.0085,164.069,127.4808,127.3011,126.0938,125.1255,Region Noreste
2018-04,133.8357,130.156,129.3073,126.1367,127.4696,137.0184,136.782,125.1584,130.0178,137.6649,137.5465,129.2599,140.3916,133.9773,138.3405,128.4275,115.7987,117.8907,111.2051,174.4149,149.7767,151.1376,201.3976,123.2459,130.1557,135.8129,138.2026,139.3079,138.0523,129.9842,144.6587,147.5956,132.8389,154.3117,152.2054,131.2139,132.4579,141.208,164.9556,129.0431,128.9474,128.0969,127.1796,Region Noreste
2018-05,137.2536,134.6723,133.8175,136.1002,129.4205,141.5425,144.6451,126.3408,134.4474,140.6568,142.1165,133.2933,145.1458,137.3547,142.2599,131.1154,118.8979,121.0576,114.1554,176.355,153.8214,155.3769,201.6758,125.3505,132.1573,139.2183,142.3782,139.6768,140.3248,135.9607,145.8263,148.3663,132.6652,158.7191,156.6814,134.9106,138.225,144.1721,165.3649,132.6337,132.66,130.6259,129.5609,Region Noreste
