Fecha,Nivel general,Alimentos y bebidas no alcohólicas,Alimentos,Pan y cereales,Carnes y derivados,"Leche, productos lácteos y huevos","Aceites, grasas y manteca",Frutas,"Verduras, tubérculos y legumbres","Azúcar, dulces, chocolate, golosinas, etc.",Bebidas no alcohólicas,"Café, té, yerba y cacao","Aguas minerales, bebidas gaseosas y jugos",Bebidas alcohólicas y tabaco,Bebidas alcohólicas,Tabaco,Prendas de vestir y calzado,Prendas de vestir y materiales,Calzado,"Vivienda, agua, electricidad, gas y otros combustibles",Alquiler de la vivienda y gastos conexos,Alquiler de la vivienda,"Electricidad, gas y otros combustibles",Equipamiento y mantenimiento del hogar,Bienes y servicios para la conservación del hogar,Salud,"Productos medicinales, artefactos y equipos para la salud",Gastos de prepagas,Transporte,Adquisición de vehículos,Funcionamiento de equipos de transporte personal,Combustibles y lubricantes para vehículos de uso del hogar,Transporte público,Comunicación,Servicios  de telefonía e internet,Recreación y cultura,Servicios recreativos y culturales,"Periódicos, diarios, revistas, libros y artículos de papelería",Educación,Restaurantes y hoteles,Restaurantes y comidas fuera del hogar,Bienes y servicios varios,Cuidado personal
2016-12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2017-01,101.6014,101.0322,100.952,98.8728,100.0957,102.3191,105.3914,103.0886,103.5354,103.2973,101.5901,101.2316,101.6513,101.3444,103.0657,100.0016,100.483,99.987,101.5227,101.5904,102.1901,102.6262,101.4549,100.4121,100.6625,102.7132,103.5035,100.6347,102.928,101.507,103.0711,103.364,103.6108,104.1098,104.3165,103.4112,105.4733,102.5176,100.5123,102.48,102.0506,102.0385,101.3387
2017-02,103.7115,103.8789,103.7432,101.6416,100.8993,104.6783,118.4508,104.62,112.6189,105.7554,104.8222,103.1794,105.1024,105.4591,104.8255,105.9533,100.4131,99.7199,101.8661,107.6923,104.8678,104.7158,110.8838,100.6545,101.7556,104.0851,105.3849,102.1886,105.5673,103.06,105.9184,106.6775,106.584,107.0784,107.4409,103.4842,107.1831,103.0963,102.8592,103.3877,102.9901,103.5259,102.7532
2017-03,107.055,105.9988,106.0164,105.3254,102.47,108.5539,120.0353,104.3238,113.5278,110.3367,105.8768,103.7632,106.2373,107.1161,107.4892,106.8251,102.2209,101.433,103.8727,121.3727,106.3262,106.7926,132.892,102.0194,103.088,107.044,107.7112,106.1823,106.4422,104.7365,106.4353,106.745,107.6028,113.163,112.4006,105.1461,110.1296,105.8422,130.753,105.0341,105.0314,105.685,104.8392
2017-04,109.9626,108.3813,108.5022,107.5939,104.2851,113.6932,121.7937,102.545,117.5041,113.6514,107.5409,105.4098,107.9044,109.2687,109.1518,109.3599,105.8574,105.416,106.7827,131.8395,107.8269,108.3707,151.5077,103.1266,103.8764,109.2143,110.9099,103.3824,106.9891,106.4279,106.5662,106.3323,108.1736,120.6617,120.1849,107.7095,114.2659,107.121,131.7883,107.1572,107.2411,106.9473,106.1614
2017-05,111.636,109.5925,109.6605,108.9839,105.5514,115.5174,121.8098,99.7088,119.4328,113.4864,109.1196,107.2938,109.431,111.2548,111.1857,111.3087,107.8263,107.9576,107.551,135.6425,110.1215,110.7852,157.5096,106.0504,108.2148,110.9083,113.4746,103.3824,108.233,107.6207,107.0892,106.6192,110.8271,120.8609,120.3891,108.8826,117.7352,109.0052,133.0204,109.0168,109.1995,108.1839,107.4631
2017-06,112.6924,110.239,110.2278,110.3779,106.3628,117.4512,121.3194,98.4891,116.4353,115.6338,110.3166,108.739,110.5857,111.5999,111.9728,111.3091,110.9264,111.7892,109.118,136.4026,111.1992,111.928,158.3366,106.5386,109.4786,112.6816,115.6587,104.1038,109.1964,109.4828,107.926,107.4272,111.4276,121.8266,121.3416,110.3471,118.2129,111,133.4391,109.398,109.5642,108.4948,107.7993
2017-07,114.2857,111.3233,111.1536,112.6957,108.0229,119.9041,121.479,97.653,111.3688,117.0676,112.5036,110.8257,112.7898,113.8749,113.083,114.4926,110.601,111.9941,107.6808,138.6344,115.3833,115.898,159.1807,109.3629,112.6322,116.0536,118.8001,112.773,112.3778,110.5128,113.2564,112.8901,111.9558,121.6774,121.1962,113.0802,120.3156,113.657,135.338,111.2471,111.0339,109.4154,108.686
2017-08,115.7385,112.7874,112.7095,110.9621,109.4964,121.3931,123.1188,98.5305,119.9902,117.4203,113.3291,112.2464,113.5138,116.0454,116.4343,115.7421,110.3081,111.464,107.8853,139.6986,117.9652,118.1472,159.5427,110.1396,113.5387,118.4669,120.2248,117.8038,113.7116,111.346,114.2109,113.2103,114.3504,124.5091,123.4129,116.6181,126.8149,116.9202,137.384,112.9072,112.9389,111.4284,110.6453
2017-09,117.7781,115.8514,115.8867,114.4077,111.6267,122.7954,125.379,101.8583,128.58,120.0309,115.6056,114.0754,115.8666,116.804,118.1626,115.7444,111.707,113.3315,108.3017,141.2223,120.2993,120.6158,160.1887,111.3973,114.2765,120.7606,122.8126,121.6134,114.5102,113.7591,114.6675,113.3632,114.7155,125.999,124.7174,118.2457,126.1091,118.7727,139.22,114.7894,114.8553,113.2292,112.3889
2017-10,119.9939,118.0512,118.0954,116.3445,112.6986,124.1363,126.8599,105.9272,135.7913,121.8653,117.7436,115.0242,118.2075,120.004,120.1798,119.8669,115.1964,116.6662,112.1155,142.4805,121.8985,122.2995,160.261,112.4689,115.2406,122.3932,124.1183,124.7519,115.9691,114.7653,117.0905,115.9976,114.6395,132.5952,131.3969,120.1608,128.6601,121.2459,139.6695,117.2603,117.3561,114.7045,113.6572
