fecha,nivel_general,alimentos_y_bebidas_no_alcohólicas,alimentos,pan_y_cereales,carnes_y_derivados,leche_productos_lácteos_y_huevos,aceites_grasas_y_manteca,frutas,verduras_tubérculos_y_legumbres,azúcar_dulces_chocolate_golosinas_etc.,bebidas_no_alcohólicas,café_té_yerba_y_cacao,aguas_minerales_bebidas_gaseosas_y_jugos,bebidas_alcohólicas_y_tabaco,bebidas_alcohólicas,tabaco,prendas_de_vestir_y_calzado,prendas_de_vestir_y_materiales,calzado,vivienda_agua_electricidad_gas_y_otros_combustibles,alquiler_de_la_vivienda_y_gastos_conexos,alquiler_de_la_vivienda,electricidad_gas_y_otros_combustibles,equipamiento_y_mantenimiento_del_hogar,bienes_y_servicios_para_la_conservación_del_hogar,salud,productos_medicinales_artefactos_y_equipos_para_la_salud,gastos_de_prepagas,transporte,adquisición_de_vehículos,funcionamiento_de_equipos_de_transporte_personal,combustibles_y_lubricantes_para_vehículos_de_uso_del_hogar,transporte_público,comunicación,servicios__de_telefonía_e_internet,recreación_y_cultura,servicios_recreativos_y_culturales,periódicos_diarios_revistas_libros_y_artículos_de_papelería,educación,restaurantes_y_hoteles,restaurantes_y_comidas_fuera_del_hogar,bienes_y_servicios_varios,cuidado_personal,region
2016-12-01,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,Region Pampeana
2017-01-01,101.7874,101.3185,101.2508,101.4273,99.6767,102.4307,102.4618,103.2219,102.9241,101.6897,101.9154,102.7804,101.5752,101.3123,102.71,100.0642,99.6481,99.6196,99.7276,102.225,101.6656,102.186,102.0596,100.8374,101.0573,103.1538,103.5161,102.0475,102.4339,101.3627,102.5025,102.6366,103.8053,102.0782,102.1133,103.5814,104.4378,102.3347,100.3682,103.1259,102.465,101.5745,101.894,Region Pampeana
2017-02-01,103.5312,103.0905,102.9073,103.1425,100.0403,105.3814,104.6783,105.5275,106.7325,103.782,104.7046,104.6334,104.7326,105.2329,105.9167,104.6224,99.9319,99.8926,100.0417,104.5783,103.9065,103.5893,103.9521,101.5404,101.9042,105.4773,105.5714,105.1374,104.4485,101.5376,105.2356,105.4878,106.4962,106.7706,106.9241,104.5173,106.921,104.3379,102.0178,104.4851,103.8897,103.518,103.5691,Region Pampeana
2017-03-01,105.8173,105.4796,105.4567,105.5166,102.9773,108.2505,106.4166,104.1434,111.0766,104.9005,105.6807,105.7586,105.6501,107.7278,108.697,106.8624,102.397,102.383,102.4362,107.7477,105.2229,105.9296,110.9505,102.0686,103.0444,107.4786,107.7067,107.2351,105.7104,103.2564,106.6598,106.7299,106.6384,110.9914,111.171,106.5045,112.0115,105.8572,114.7719,105.6069,105.6217,105.8309,105.5923,Region Pampeana
2017-04-01,108.6912,107.6223,107.596,107.229,105.1798,113.0067,105.1668,102.0222,113.3649,106.5815,107.8544,107.4423,108.0164,110.2615,110.5542,110.0002,107.7653,109.0985,104.0441,115.7988,107.2174,108.088,131.0555,103.234,104.1183,109.6556,111.0665,107.4881,106.4751,104.7468,106.5695,106.4886,108.7333,118.1294,118.4939,108.1603,113.9555,107.6145,116.8585,107.5143,107.6596,107.5104,107.196,Region Pampeana
2017-05-01,110.3005,109.1784,109.1458,108.3853,106.3957,115.7379,106.6383,101.8744,116.1502,108.4813,109.4656,108.5494,109.8259,111.9322,112.5877,111.3469,110.8815,112.6349,105.9872,117.1786,109.062,110.0816,132.4725,105.9881,108.1648,111.3292,113.5514,107.5058,107.2349,106.0753,106.7375,106.199,110.3167,119.2354,119.5816,107.9732,114.9541,110.0475,119.0889,109.6488,109.9603,108.5852,108.2663,Region Pampeana
2017-06-01,111.4058,109.7297,109.7457,109.5672,106.6636,118.3455,108.2023,101.7828,113.2893,110.3541,109.589,109.216,109.7357,112.7727,114.3684,111.348,112.0058,113.9726,106.5162,118.5639,110.4275,111.5533,133.0318,107.3324,109.8386,113.0929,115.9425,107.9165,108.0181,107.2767,107.0898,106.2601,111.693,120.1817,120.4156,109.8691,114.8648,111.7848,121.308,110.8486,111.1611,110.4629,109.9186,Region Pampeana
2017-07-01,113.5783,111.0117,110.9423,111.5367,107.6375,120.5215,109.6478,102.1255,112.5188,112.585,111.6234,110.9529,111.8871,115.9517,117.3677,114.6873,110.8592,112.1858,107.1563,120.4739,113.0359,113.7346,134.2986,110.0163,113.2866,117.2026,119.4098,113.7799,111.0984,108.8729,111.2433,110.9928,113.9404,122.0774,122.516,115.2982,117.3512,114.7407,122.3166,114.3545,114.1192,112.0335,111.3492,Region Pampeana
2017-08-01,115.0905,113.4677,113.4422,112.6614,108.7125,121.9982,111.9631,103.2869,124.5379,115.1171,113.6923,113.5631,113.7431,117.2003,119.2557,115.3651,110.16,111.4163,106.6534,122.5117,116.0196,116.2732,134.9947,111.202,114.2719,119.859,120.6894,119.2583,112.3391,110.5454,111.6263,111.0975,116.9474,123.1496,123.5683,116.041,122.6964,117.6959,126.2009,114.7535,114.8655,113.5919,112.7769,Region Pampeana
2017-09-01,117.2947,115.1672,115.2033,113.8377,110.1968,122.7642,112.3503,107.7873,127.9077,117.1764,114.8498,114.9444,114.8125,118.0307,120.5344,115.7953,112.9665,114.5144,108.646,127.7062,117.9149,118.2121,146.5304,112.4815,114.9066,122.7381,123.2301,124.2723,112.9931,112.4923,111.9273,111.0839,116.7014,124.8701,125.1615,118.8879,124.591,123.1689,130.4372,116.7469,116.9168,115.5247,114.7672,Region Pampeana
