fecha,nivel_general,alimentos_y_bebidas_no_alcohólicas,alimentos,pan_y_cereales,carnes_y_derivados,leche_productos_lácteos_y_huevos,aceites_grasas_y_manteca,frutas,verduras_tubérculos_y_legumbres,azúcar_dulces_chocolate_golosinas_etc.,bebidas_no_alcohólicas,café_té_yerba_y_cacao,aguas_minerales_bebidas_gaseosas_y_jugos,bebidas_alcohólicas_y_tabaco,bebidas_alcohólicas,tabaco,prendas_de_vestir_y_calzado,prendas_de_vestir_y_materiales,calzado,vivienda_agua_electricidad_gas_y_otros_combustibles,alquiler_de_la_vivienda_y_gastos_conexos,alquiler_de_la_vivienda,electricidad_gas_y_otros_combustibles,equipamiento_y_mantenimiento_del_hogar,bienes_y_servicios_para_la_conservación_del_hogar,salud,productos_medicinales_artefactos_y_equipos_para_la_salud,gastos_de_prepagas,transporte,adquisición_de_vehículos,funcionamiento_de_equipos_de_transporte_personal,combustibles_y_lubricantes_para_vehículos_de_uso_del_hogar,transporte_público,comunicación,servicios__de_telefonía_e_internet,recreación_y_cultura,servicios_recreativos_y_culturales,periódicos_diarios_revistas_libros_y_artículos_de_papelería,educación,restaurantes_y_hoteles,restaurantes_y_comidas_fuera_del_hogar,bienes_y_servicios_varios,cuidado_personal,region
2016-12-01,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,Region Patagonia
2017-01-01,102.5593,100.9464,100.8016,100.813,100.3196,102.2292,103.9494,101.9182,98.1089,103.3863,102.2955,103.1515,101.9938,101.1901,102.9748,100.0028,100.9137,100.4672,101.9496,110.3184,102.8171,102.9396,114.9269,101.0684,101.2386,104.7253,105.0765,101.2825,102.4768,101.087,103.8832,104.4497,101.7793,101.6649,101.5584,100.9612,102.4184,101.7276,106.9917,102.2654,101.5711,102.4839,101.855,Region Patagonia
2017-02-01,104.2827,102.2499,101.9133,102.617,101.1143,104.9892,104.5625,104.3326,96.6789,103.9794,105.3864,105.1622,105.4654,105.356,106.1117,104.8532,102.3756,101.1878,105.1318,112.0198,105.0996,104.9852,115.7885,101.2819,101.9363,107.0073,106.612,106.1222,104.4111,102.0182,106.5172,107.1362,103.9944,105.7368,105.5604,102.5319,106.0241,103.3923,106.687,105.6675,105.1077,104.2815,103.5612,Region Patagonia
2017-03-01,106.5167,103.9781,103.69,104.6328,102.5754,108.8773,107.2931,102.9771,97.7298,105.6044,106.6633,106.852,106.5968,106.5579,107.7168,105.7869,104.7865,103.7166,107.269,115.3729,106.6134,106.8135,124.0673,102.3074,103.1474,108.7254,109.5521,106.6437,106.3107,103.6636,106.7421,107.1304,110.5701,107.843,107.6495,105.026,110.9392,105.4993,123.3177,105.4631,105.4732,106.397,105.7545,Region Patagonia
2017-04-01,108.6517,105.4772,105.1497,105.6404,103.1587,111.9348,107.2382,105.636,100.2772,108.5061,108.5294,108.6597,108.4835,109.665,110.3575,109.2043,105.76,106.5318,103.9692,119.3459,108.4347,108.6821,133.7375,103.6556,103.4467,110.6841,112.6106,106.7617,107.5492,106.6492,106.8891,107.062,111.0033,115.2587,115.1985,108.9559,114.5227,107.203,123.6835,107.6891,107.8413,108.838,108.2575,Region Patagonia
2017-05-01,110.4897,107.5956,107.4254,107.687,103.776,116.2863,110.0785,105.0712,108.0905,109.7715,109.1815,110.1704,108.833,111.7105,112.7643,111.0094,106.9611,108.1244,104.2618,123.2025,114.5874,114.9902,135.0374,105.8478,106.9363,112.5553,114.8418,106.7866,108.0742,108.3888,107.2772,107.2362,109.4223,115.391,115.2109,112.5688,117.3972,110.6899,123.8872,107.9996,108.2579,109.8555,109.3701,Region Patagonia
2017-06-01,111.7051,107.9237,107.6383,108.8872,103.718,118.6145,109.563,102.9089,104.906,112.0159,110.584,110.5233,110.6054,112.9921,115.1666,111.5454,108.3356,109.6117,105.3743,124.7449,115.72,116.1458,137.9291,107.8202,108.7556,114.4315,117.0604,109.518,108.9388,109.9181,107.4838,107.4891,110.5945,116.2683,116.0786,115.3037,120.9612,111.1069,124.1271,109.1265,109.3833,111.9854,111.7347,Region Patagonia
2017-07-01,113.3785,108.7052,108.4146,110.4967,103.5829,121.2598,110.8351,102.5643,104.7238,114.4772,111.4144,111.4106,111.4158,115.8682,117.1972,114.984,108.0861,109.3531,105.146,127.5967,119.3937,119.7192,140.8364,109.7282,111.7478,117.2278,120.3269,114.6794,112.1956,110.6541,113.5849,114.3816,111.8461,117.0195,116.8149,118.2348,124.0509,112.7566,124.9513,112.1018,111.7893,112.7634,112.1557,Region Patagonia
2017-08-01,115.3036,110.5112,110.1363,111.8623,104.6877,122.6006,112.9848,102.779,110.5158,115.8313,114.0051,114.2663,113.913,117.2341,118.9754,116.0756,110.2047,109.4503,111.9553,131.1214,120.8673,121.0093,149.7649,110.7126,112.7617,119.4044,121.1886,122.1328,113.9424,113.4357,114.138,114.6255,114.4769,119.0533,118.3407,119.7007,125.0824,118.1888,126.1421,113.6027,113.6768,114.9677,114.0528,Region Patagonia
2017-09-01,116.7945,112.3235,111.9222,113.3926,107.2543,122.1362,111.2169,104.592,114.3876,116.8299,116.0632,115.7138,116.1863,117.6412,119.6887,116.279,110.1829,109.6301,111.4655,133.0531,124.4424,124.6766,149.7815,111.2591,113.2202,123.4031,124.5326,128.0941,115.474,115.3719,114.6857,114.9653,117.6397,120.0112,119.1536,121.4033,128.3179,119.6642,128.8272,114.9091,115.0185,116.989,116.131,Region Patagonia
2017-10-01,118.7072,114.195,113.7097,114.0974,108.3131,124.1449,114.8739,108.1314,119.413,118.6473,118.717,117.9623,118.983,120.4857,120.6829,120.3544,111.3727,111.8393,110.2898,136.4261,128.7772,129.1153,153.1969,112.0466,114.2405,124.5727,125.611,129.0353,117.1844,116.5321,117.888,118.4876,116.7486,127.3895,126.6266,122.6976,130.9389,120.2304,129.2188,117.1003,117.2482,117.4246,116.6766,Region Patagonia
2017-11-01,120.4376,115.737,115.2186,115.6631,109.285,125.5841,115.3084,112.166,121.5973,120.5404,120.5675,118.1104,121.4335,121.7447,123.2765,120.7256,113.1277,113.0597,113.2854,137.5471,130.7914,131.1811,153.1822,112.8317,114.5249,126.4441,127.5767,130.7828,121.2482,118.7219,124.2711,125.8073,118.8207,128.5295,127.7591,123.7168,132.4256,121.1844,129.28,118.6553,118.7797,118.7065,117.93,Region Patagonia
